;; Orthographic Sender: Helps type some common orthographical marks without copy pasting. This library tries to avoid symbols and pictograms. ;; 171 definitions.

*C1?OZ‖^apostrophe ‖SI‖En‖{U+02BC}‖modifier letter apostrophe (U+02BC)

*C1?OZ‖^prime ‖SI‖En‖{U+2032}‖prime (U+2032)
*C1?OZ‖^doubleprime ‖SI‖En‖{U+2033}‖double prime (U+2033)
*C1?OZ‖^tripleprime ‖SI‖En‖{U+2034}‖triple prime (U+2034)
*C1?OZ‖^quadrupleprime ‖SI‖En‖{U+2057}‖quadruple prime (U+2057)

*C1?OZ‖^asterism ‖SI‖En‖{U+2042}‖asterism (U+2042)
*C1?OZ‖^lowasterisk ‖SI‖En‖{U+204E}‖low asterisk (U+204E)
*C1?OZ‖^doubleasterisk ‖SI‖En‖{U+2051}‖two asterisks aligned vertically (U+2051)

*C1?OZ‖^estimatesign ‖SI‖En‖{U+212E}‖estimated symbol (U+212E)
*C1?OZ‖^estimatesymbol ‖SI‖En‖{U+212E}‖estimated symbol (U+212E)
*C1?OZ‖^estimatedsymbol ‖SI‖En‖{U+212E}‖estimated symbol (U+212E)

*C1?OZ‖^degree ‖SI‖En‖{U+00B0}‖degree sign (U+00B0)

*C1?OZ‖^notsign ‖SI‖En‖{U+00AC}‖not sign (U+00AC)

*C1?OZ‖^celsius ‖SI‖En‖{U+2103}‖degree celsius (U+2103)
*C1?OZ‖^centigrade ‖SI‖En‖{U+2103}‖degree celsius (U+2103)
*C1?OZ‖^fahrenheit ‖SI‖En‖{U+2109}‖degree fahrenheit (U+2109)
*C1?OZ‖^kelvin ‖SI‖En‖{U+212A}‖kelvin sign (U+212A)

*C1?OZ‖^ellipsis ‖SI‖En‖{U+2026}‖horizontal ellipsis (U+2026)
*C1?OZ‖^hyphenationpoint ‖SI‖En‖{U+2027}‖hyphenation point (U+2027)
*C1?OZ‖^interpunct ‖SI‖En‖{U+00B7}‖middle dot (U+00B7)
*C1?OZ‖^interpoint ‖SI‖En‖{U+00B7}‖middle dot (U+00B7)
*C1?OZ‖^middledot ‖SI‖En‖{U+00B7}‖middle dot (U+00B7)
*C1?OZ‖^centereddot ‖SI‖En‖{U+00B7}‖middle dot (U+00B7)
*C1?OZ‖^doubleperiod ‖SI‖En‖{U+2025}‖two dot leader (U+2025)

*C1?OZ‖^doubleverticalline ‖SI‖En‖{U+2016}‖double vertical line (U+2016)
*C1?OZ‖^mediumverticalbar ‖SI‖En‖{U+2759}‖medium vertical bar (U+2759)
*C1?OZ‖^brokenbar ‖SI‖En‖{U+00A6}‖broken bar (U+00A6)
*C1?OZ‖^zigzag ‖SI‖En‖{U+299A}‖vertical zigzag line (U+299A)
*C1?OZ‖^zigzagline ‖SI‖En‖{U+299A}‖vertical zigzag line (U+299A)

*C1?OZ‖^dagger ‖SI‖En‖{U+2020}‖dagger (U+2020)
*C1?OZ‖^doubledagger ‖SI‖En‖{U+2021}‖ouble dagger (U+2021)
*C1?OZ‖^sectionsign ‖SI‖En‖{U+00A7}‖section sign (U+00A7)
*C1?OZ‖^halfsectionsign ‖SI‖En‖{U+2E39}‖top half section sign (U+2E39)
*C1?OZ‖^manicule ‖SI‖En‖{U+261E}‖white right pointing index (U+261E)
*C1?OZ‖^maniculeblack ‖SI‖En‖{U+261B}‖black right pointing index (U+261B)

*C1?OZ‖^pilcrow ‖SI‖En‖{U+00B6}‖pilcrow sign (U+00B6)
*C1?OZ‖^paragraphsign ‖SI‖En‖{U+00B6}‖pilcrow sign (U+00B6)
*C1?OZ‖^capitulum ‖SI‖En‖{U+2E3F}‖capitulum (U+2E3F)

*C1?OZ‖^paragraphend ‖SI‖En‖{U+220E}‖end of proof (U+220E)
*C1?OZ‖^endofproof ‖SI‖En‖{U+220E}‖end of proof (U+220E)

*C1?OZ‖^europeanconformity ‖SI‖En‖ϹⲈ‖(U+03F9) + (U+2C88)
*C1?OZ‖^conformiteeuropeenne ‖SI‖En‖ϹⲈ‖(U+03F9) + (U+2C88)

*C1?OZ‖^registered ‖SI‖En‖{U+00AE}‖registered sign (U+00AE)
*C1?OZ‖^registeredsign ‖SI‖En‖{U+00AE}‖registered sign (U+00AE)
*C1?OZ‖^copyright ‖SI‖En‖{U+00A9}‖copyright sign (U+00A9)
*C1?OZ‖^copyrightsign ‖SI‖En‖{U+00A9}‖copyright sign (U+00A9)
*C1?OZ‖^trademark ‖SI‖En‖{U+2122}‖trade mark sign (U+2122)
*C1?OZ‖^trademarksign ‖SI‖En‖{U+2122}‖trade mark sign (U+2122)

*C1?OZ‖^hyphen ‖SI‖En‖{U+2010}‖hyphen (U+2010)
*C1?OZ‖^endash ‖SI‖En‖{U+2013}‖en dash (U+2013)
*C1?OZ‖^emdash ‖SI‖En‖{U+2014}‖em dash (U+2014)
*C1?OZ‖^twoemdash ‖SI‖En‖{U+2E3A}‖two-em dash (U+2E3A)
*C1?OZ‖^threeemdash ‖SI‖En‖{U+2E3B}‖three-em dash (U+2E3B)

*C1?OZ‖^doublehyphen ‖SI‖En‖{U+2E17}‖double oblique hyphen (U+2E17)

*C1?OZ‖^ditto ‖SI‖En‖{U+3003}‖ditto mark (U+3003)
*C1?OZ‖^dittomark ‖SI‖En‖{U+3003}‖ditto mark (U+3003)

*C1?OZ‖^micro ‖SI‖En‖{U+00B5}‖micro sign (U+00B5)
*C1?OZ‖^microsign ‖SI‖En‖{U+00B5}‖micro sign (U+00B5)
*C1?OZ‖^ohm ‖SI‖En‖{U+2126}‖ohm sign (U+2126)
*C1?OZ‖^ohmsign ‖SI‖En‖{U+2126}‖ohm sign (U+2126)
*C1?OZ‖^ohmsymbol ‖SI‖En‖{U+2126}‖ohm sign (U+2126)

*C1?OZ‖^checkmark ‖SI‖En‖{U+2713}‖check mark (U+2713)

*C1?OZ‖^masculineordinal ‖SI‖En‖{U+00BA}‖masculine ordinal indicator (U+00BA)
*C1?OZ‖^feminineordinal ‖SI‖En‖{U+00AA}‖feminine ordinal indicator (U+00AA)

*C1?OZ‖^roughbreathing ‖SI‖En‖{U+0314}‖combining reversed comma above (U+0314)
*C1?OZ‖^smoothbreathing ‖SI‖En‖{U+1FBF}‖greek psili (U+1FBF)
*C1?OZ‖^psili ‖SI‖En‖{U+1FBF}‖greek psili (U+1FBF)
*C1?OZ‖^greekpsili ‖SI‖En‖{U+1FBF}‖greek psili (U+1FBF)

*C1?OZ‖^bullet ‖SI‖En‖{U+2022}‖bullet (U+2022)
*C1?OZ‖^hyphenbullet ‖SI‖En‖{U+2043}‖hyphen bullet (U+2043)
*C1?OZ‖^triangularbullet ‖SI‖En‖{U+2023}‖triangular bullet (U+2023)
*C1?OZ‖^trianglebullet ‖SI‖En‖{U+2023}‖triangular bullet (U+2023)

*C1?OZ‖^leftarrow ‖SI‖En‖{U+2190}‖leftwards arrow (U+2190)
*C1?OZ‖^uparrow ‖SI‖En‖{U+2191}‖upwards arrow (U+2191)
*C1?OZ‖^rightarrow ‖SI‖En‖{U+2192}‖rightwards arrow (U+2192)
*C1?OZ‖^downarrow ‖SI‖En‖{U+2193}‖downwards arrow (U+2193)

*C1?OZ‖^scruple ‖SI‖En‖{U+2108}‖scruple (U+2108)

*C1?OZ‖^careof ‖SI‖En‖{U+2105}‖care of (U+2105)
*C1?OZ‖^cadauna ‖SI‖En‖{U+2106}‖cada una (U+2106)

*C1?OZ‖^numero ‖SI‖En‖{U+2116}‖numero sign (U+2116)
*C1?OZ‖^numerosign ‖SI‖En‖{U+2116}‖numero sign (U+2116)

*C1?OZ‖^tie ‖SI‖En‖{U+2040}‖character tie (U+2040)
*C1?OZ‖^undertie ‖SI‖En‖{U+203F}‖undertie (U+203F)
*C1?OZ‖^invertedundertie ‖SI‖En‖{U+2054}‖inverted undertie (U+2054)
*C1?OZ‖^reverseundertie ‖SI‖En‖{U+2054}‖inverted undertie (U+2054)

*C1?OZ‖^dottedcircle ‖SI‖En‖{U+25CC}‖dotted circle (U+25CC)
*C1?OZ‖^dottedsquare ‖SI‖En‖{U+2B1A}‖dotted square (U+2B1A)

*C1?OZ‖^homothetic ‖SI‖En‖{U+223B}‖homothetic (U+223B)

*C1?OZ‖^uncertainty sign ‖SI‖En‖{U+2BD1}‖uncertainty sign (U+2BD1)

*C1?OZ‖^overline ‖SI‖En‖{U+203E}‖overline (U+203E)
*C1?OZ‖^fractionslash ‖SI‖En‖{U+2044}‖fraction slash (U+2044)

*C1?OZ‖^referencemark ‖SI‖En‖{U+203B}‖reference mark (U+203B)
*C1?OZ‖^dottedcross ‖SI‖En‖{U+205C}‖dotted cross (U+205C)

*C1?OZ‖^currencysign ‖SI‖En‖{U+203B}‖currency sign (U+00A4)
*C1?OZ‖^centsign ‖SI‖En‖{U+00A2}‖cent sign (U+00A2)
*C1?OZ‖^poundsign ‖SI‖En‖{U+00A3}‖pound sign (U+00A3)
*C1?OZ‖^yensign ‖SI‖En‖{U+00A5}‖yen sign (U+00A5)
*C1?OZ‖^eurosign ‖SI‖En‖{U+20AC}‖euro sign (U+20AC)

*C1?OZ‖^permille ‖SI‖En‖{U+2040}‖character tie (U+2040)
*C1?OZ‖^permillesign ‖SI‖En‖{U+2030}‖per mille sign (U+2030)
*C1?OZ‖^pertenthousand ‖SI‖En‖{U+2031}‖per ten thousand sign (U+2031)
*C1?OZ‖^pertenthousandsign ‖SI‖En‖{U+2031}‖per ten thousand sign (U+2031)
*C1?OZ‖^basispoint ‖SI‖En‖{U+2031}‖per ten thousand sign (U+2031)

*C1?OZ‖^nobreakspace ‖SI‖En‖{U+00A0}‖no-break space (U+00A0)
*C1?OZ‖^hairspace ‖SI‖En‖{U+200A}‖hair space (U+200A)
*C1?OZ‖^thinspace ‖SI‖En‖{U+2009}‖thin space (U+2009)
