/*
License:		CC BY-SA (Creative Commons Attribution-ShareAlike)

Author:		Maciej Słojewski (🐘), http://mslonik.pl

Purpose:		Based on library "(Unicode Sender) Orthographic.csv" with typomatic convention of my hotstrings.

Notes:		Reviewed, verified, supplemented and corrected on 2023-02-26.

Example:		centigrade/ -> ℃
*/

*C1?Z‖apostrophe/‖SI‖En‖ʼ‖modifier letter apostrophe (U+02BC)
*C1?Z‖okina/‖SI‖En‖ʻ‖modifier letter turned comma (U+02BB)
*C1?Z‖saltillo/‖SI‖En‖ꞌ‖latin small letter saltillo (U+A78C)
*C1?Z‖saltillocapital/‖SI‖En‖Ꞌ‖latin capital letter saltillo (U+A78B)

*C1?Z‖glottalstop/‖SI‖En‖ʔ‖latin letter glottal stop (U+0294)
*C1?Z‖glottalstopcapital/‖SI‖En‖Ɂ‖latin capital letter glottal stop (U+0241)

*C1?Z‖prime/‖SI‖En‖′‖prime (U+2032)
*C1?Z‖primedouble/‖SI‖En‖″‖double prime (U+2033)
*C1?Z‖primetriple/‖SI‖En‖‴‖triple prime (U+2034)
*C1?Z‖primequadruple/‖SI‖En‖⁗‖quadruple prime (U+2057)

*C1?Z‖asterism‖SI‖En‖⁂‖asterism (U+2042)
*C1?Z‖lowasterisk/‖SI‖En‖⁎‖low asterisk (U+204E)
*C1?Z‖doubleasterisk/‖SI‖En‖⁑‖two asterisks aligned vertically (U+2051)
*C1?Z‖heavyasterisk/‖SI‖En‖✱‖heavy asterisk (U+2731)

*C1?Z‖estimatesign/‖SI‖En‖℮‖estimated symbol (U+212E)
*C1?Z‖estimatesymbol/‖SI‖En‖℮‖estimated symbol (U+212E)
*C1?Z‖estimatedsymbol/‖SI‖En‖℮‖estimated symbol (U+212E)

*C1?Z‖degree/‖SI‖En‖°‖degree sign (U+00B0)

*C1?Z‖notsign/‖SI‖En‖¬‖not sign (U+00AC)

*C1?Z‖celsius/‖SI‖En‖℃‖degree celsius (U+2103)
*C1?Z‖centigrade/‖SI‖En‖℃‖degree celsius (U+2103)
*C1?Z‖fahrenheit/‖SI‖En‖℉‖degree fahrenheit (U+2109)
*C1?Z‖kelvin/‖SI‖En‖K‖kelvin sign (U+212A)

*C1?Z‖ellipsis/‖SI‖En‖…‖horizontal ellipsis (U+2026)
*C1?Z‖hyphenationpoint/‖SI‖En‖‧‖hyphenation point (U+2027)
*C1?Z‖interpunctus/‖SI‖En‖·‖middle dot (U+00B7)
*C1?Z‖interpoint/‖SI‖En‖·‖middle dot (U+00B7)
*C1?Z‖middledot/‖SI‖En‖·‖middle dot (U+00B7)
*C1?Z‖centerdot/‖SI‖En‖·‖middle dot (U+00B7)
*C1?Z‖centereddot/‖SI‖En‖·‖middle dot (U+00B7)
*C1?Z‖doubleperiod/‖SI‖En‖‥‖two dot leader (U+2025)

*C1?Z‖doubleverticalline/‖SI‖En‖{U+2016}‖double vertical line (U+2016)
*C1?Z‖mediumverticalbar/‖SI‖En‖❙‖medium vertical bar (U+2759)
*C1?Z‖brokenbar/‖SI‖En‖{U+00A6}‖broken bar (U+00A6)
*C1?Z‖zigzag/‖SI‖En‖⦚‖vertical zigzag line (U+299A)
*C1?Z‖zigzagline/‖SI‖En‖⦚‖vertical zigzag line (U+299A)

*C1?Z‖dagger/‖SI‖En‖†‖dagger (U+2020)
*C1?Z‖cross/‖SI‖En‖†‖dagger (U+2020)
*C1?Z‖daggerdouble/‖SI‖En‖‡‖double dagger (U+2021)
*C1?Z‖sectionsign/‖SI‖En‖§‖section sign (U+00A7)
*C1?Z‖sectionsignhalf/‖SI‖En‖⸹‖top half section sign (U+2E39)
*C1?Z‖manicule/‖SI‖En‖☞‖white right pointing index (U+261E)
*C1?Z‖maniculeblack/‖SI‖En‖☛‖black right pointing index (U+261B)

*C1?Z‖pilcrow/‖SI‖En‖¶‖pilcrow sign (U+00B6)
*C1?Z‖paragraphsign/‖SI‖En‖¶‖pilcrow sign (U+00B6)
*C1?Z‖capitulum/‖SI‖En‖⸿‖capitulum (U+2E3F)

*C1?Z‖paragraphend/‖SI‖En‖∎‖end of proof (U+220E)
*C1?Z‖endofproof/‖SI‖En‖∎‖end of proof (U+220E)

*C1?Z‖euconformity/‖SI‖En‖ϹⲈ‖(U+03F9) + (U+2C88)
*C1?Z‖conformiteeuropean/‖SI‖En‖ϹⲈ‖(U+03F9) + (U+2C88)

*C1?Z‖registered/‖SI‖En‖®‖registered sign (U+00AE)
*C1?Z‖registeredsign/‖SI‖En‖®‖registered sign (U+00AE)
